Year,Month,Day,Hour,Minute,Zone Mean Air Temp L2XBR,Zone Mean Air Temp L2XBR_norm,Zone Mean Air Temp L1XBR,Zone Mean Air Temp L1XBR_norm,Zone Humidity L2XBR,Zone Humidity L1XBR,Cooling L1XBR,Total L1BR,Cooling L2XBR,Total L2BR
2010,1,1,1,30,26.06304492,0.751,24.71434708,0.801,0.015399564,0.015326353,49.73573623,49.73573623,173.2470977,173.2470977
2010,1,1,2,30,25.65426664,0.739,24.38511896,0.791,0.015286167,0.015219237,15.88096048,15.88096048,141.6512715,141.6512715
2010,1,1,3,30,25.40273594,0.732,24.20915925,0.785,0.015089028,0.015027141,0,0,115.2792777,115.2792777
2010,1,1,4,30,25.34228383,0.73,24.22913741,0.786,0.015261739,0.015203092,0,0,108.3228806,108.3228806
2010,1,1,5,30,25.43347313,0.732,24.39421445,0.791,0.016048901,0.015992565,10.66588417,10.66588417,116.6816743,116.6816743
2010,1,1,6,30,25.52027637,0.735,24.47174081,0.794,0.015677954,0.015625406,98.67443658,98.67443658,205.5386095,205.5386095
2010,1,1,7,30,25.59547014,0.737,24.56028273,0.796,0.014737287,0.014684239,109.2525656,109.2525656,204.21408,204.21408
2010,1,1,8,30,25.59269086,0.737,24.5924583,0.798,0.014814041,0.014760407,39.31132258,39.31132258,135.4118997,135.4118997
2010,1,1,9,30,26.02902177,0.75,25.04162248,0.812,0.014931382,0.014877942,92.59817987,92.59817987,200.1458949,200.1458949
2010,1,1,10,30,26.55971094,0.765,25.52447519,0.828,0.015099576,0.015043562,141.4917637,141.4917637,269.9519163,269.9519163
2010,1,1,11,30,27.15042282,0.782,26.00127998,0.843,0.015333624,0.015271362,166.375369,166.375369,308.0810706,
2010,1,1,12,30,27.76510661,0.8,26.45402047,0.858,0.015539979,0.015641926,166.5194353,166.5194353,299.2403776,
2010,1,1,13,30,28.18774783,0.812,26.65278807,0.864,0.015545042,0.016210196,168.6816331,168.6816331,309.7065793,
2010,1,1,14,30,28.4772298,0.82,26.79831802,0.869,0.015669306,0.016964898,168.4298425,168.4298425,322.5301639,
2010,1,1,15,30,28.70522167,0.827,26.89713646,0.872,0.01582012,0.017749537,164.8290728,164.8290728,330.5912577,
2010,1,1,16,30,28.6097377,0.824,26.89479901,0.872,0.015809065,0.017795997,155.8978995,155.8978995,325.7122749,
2010,1,1,17,30,28.32771594,0.816,26.67969901,0.865,0.015906622,0.016207198,143.3766609,143.3766609,305.4796407,305.4796407
2010,1,1,18,30,27.93636694,0.805,26.32883512,0.854,0.016106495,0.01605241,129.0258215,129.0258215,272.765272,272.765272
2010,1,1,19,30,27.99605179,0.806,26.43992043,0.857,0.016061271,0.015992261,204.781793,204.781793,347.3015851,347.3015851
2010,1,1,20,30,27.73727832,0.799,26.18749443,0.849,0.015865022,0.015780741,243.9565478,243.9565478,402.1166607,402.1166607
2010,1,1,21,30,27.4222795,0.79,25.89419392,0.84,0.015714298,0.0156265,236.7955115,236.7955115,381.4655117,381.4655117
2010,1,1,22,30,27.21649999,0.784,25.74035851,0.835,0.015640133,0.015556309,225.3727183,225.3727183,359.4221937,359.4221937
2010,1,1,23,30,27.07882955,0.78,25.65676512,0.832,0.015542104,0.0154618,217.6705833,217.6705833,344.3977753,344.3977753
2010,1,1,24,30,26.93815602,0.776,25.55710726,0.829,0.015430444,0.015353059,205.8398217,205.8398217,326.6935103,326.6935103
2010,1,2,1,30,26.35064601,0.759,25.01048903,0.811,0.015372102,0.015297498,81.85556284,81.85556284,200.4446338,200.4446338
2010,1,2,2,30,26.05646465,0.75,24.77890444,0.804,0.015203573,0.015134516,57.06229916,57.06229916,174.6228359,174.6228359
2010,1,2,3,30,25.82393136,0.744,24.60121371,0.798,0.015034814,0.014969862,36.00219343,36.00219343,151.7947526,151.7947526
2010,1,2,4,30,25.37611631,0.731,24.19118656,0.784,0.014487559,0.014426833,0,0,99.46211685,99.46211685
2010,1,2,5,30,24.77715608,0.714,24.18674206,0.784,0.013395246,0.013612751,0,0,35.01005596,35.01005596
2010,1,2,6,30,25.22968298,0.727,24.17658174,0.784,0.01361962,0.013658784,49.32670815,49.32670815,164.8020947,164.8020947
2010,1,2,7,30,25.65773332,0.739,24.63027275,0.799,0.014710766,0.014647413,100.811793,100.811793,202.9656443,202.9656443
2010,1,2,8,30,26.36665042,0.759,25.11820658,0.815,0.014940367,0.014883869,0,0,0,0
2010,1,2,9,30,26.75954524,0.771,25.38423731,0.823,0.015110595,0.015062145,0,0,0,0
2010,1,2,10,30,27.1383822,0.782,25.60761427,0.83,0.015347869,0.015307027,0,0,0,0
2010,1,2,11,30,27.58159002,0.794,25.81127914,0.837,0.015701599,0.015497667,0,0,0,0
2010,1,2,12,30,27.99097203,0.806,25.94562237,0.841,0.015963608,0.01548381,0,0,0,0
2010,1,2,13,30,28.33422706,0.816,26.07661801,0.846,0.016098162,0.015489596,0,0,0,0
2010,1,2,14,30,28.55337238,0.822,26.18289288,0.849,0.016042007,0.015528064,0,0,0,0
2010,1,2,15,30,28.68112629,0.826,26.23031319,0.851,0.015987784,0.015614903,0,0,0,0
